query_id,source,primary_intent,secondary_intents,constraint_types,query_form,answerability,ambiguous,outlier
Q019,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q020,existing_fixture,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,HUMAN_QRELS,no,no
Q021,existing_fixture,ACCESSIBILITY,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q022,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q023,existing_fixture,MECHANIC_RULE,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q024,existing_fixture,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,HUMAN_QRELS,no,no
Q025,existing_fixture,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,HUMAN_QRELS,no,no
Q026,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q027,existing_fixture,INTERACTION_MODE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q028,existing_fixture,PLAY_EXPERIENCE,MECHANIC_RULE,SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q029,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q030,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q031,existing_fixture,PLAY_EXPERIENCE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q032,existing_fixture,MECHANIC_RULE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q033,existing_fixture,THEME_CONTENT,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q034,existing_fixture,MECHANIC_RULE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q035,existing_fixture,MECHANIC_RULE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q036,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q037,existing_fixture,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q038,existing_fixture,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q039,existing_fixture,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q040,existing_fixture,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q041,existing_fixture,ACCESSIBILITY,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q042,existing_fixture,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q043,existing_fixture,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q044,existing_fixture,OCCASION_CONTEXT,STRUCTURED_FIT;ACCESSIBILITY;PLAY_EXPERIENCE,HARD_PLAYERS;HARD_TIME;CONTEXT_HINT;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q045,existing_fixture,INTERACTION_MODE,STRUCTURED_FIT,HARD_PLAYERS;HARD_TIME,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q046,existing_fixture,INTERACTION_MODE,STRUCTURED_FIT,HARD_PLAYERS;HARD_TIME,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q047,existing_fixture,OCCASION_CONTEXT,STRUCTURED_FIT;INTERACTION_MODE;PLAY_EXPERIENCE,HARD_PLAYERS;HARD_TIME;CONTEXT_HINT,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q048,existing_fixture,MECHANIC_RULE,STRUCTURED_FIT;ACCESSIBILITY;PLAY_EXPERIENCE,HARD_PLAYERS;HARD_TIME;STRUCTURED_PREFERENCE;SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q049,existing_regression,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q050,existing_regression,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q051,existing_regression,MECHANIC_RULE,-,NONE,natural_en,CATALOG_METADATA_PLUS_QRELS,no,no
Q052,existing_regression,MECHANIC_RULE,-,NONE,natural_en,CATALOG_METADATA_PLUS_QRELS,no,no
Q053,existing_regression,OPEN_DISCOVERY,-,NONE,short_keyword,CLARIFY_FIRST,yes,yes
Q054,existing_regression,OPEN_DISCOVERY,-,NONE,short_keyword,CLARIFY_FIRST,yes,yes
Q055,existing_regression,OPEN_DISCOVERY,-,NONE,short_keyword,CLARIFY_FIRST,yes,yes
Q056,existing_regression,OPEN_DISCOVERY,-,NONE,short_keyword,CLARIFY_FIRST,yes,yes
Q057,synthetic,TITLE_EXACT,-,NONE,natural_ko_title,DIRECT_CATALOG,no,no
Q058,synthetic,TITLE_RECOVERY,TITLE_EXACT,NONE,mixed_ko_en,PARTIAL_TITLE_CATALOG,no,no
Q059,synthetic,TITLE_RECOVERY,-,NONE,natural_ko_uncertain,PARTIAL_TITLE_CATALOG,yes,no
Q060,synthetic,REFERENCE_SIMILARITY,TITLE_EXACT;MECHANIC_RULE,NONE,natural_ko_reference,REFERENCE_QRELS,yes,no
Q061,synthetic,REFERENCE_SIMILARITY,TITLE_EXACT;INTERACTION_MODE,NONE,mixed_ko_en_reference,REFERENCE_QRELS,yes,no
Q062,synthetic,TITLE_EXACT,STRUCTURED_FIT,HARD_PLAYERS,natural_ko_title_constraint,DIRECT_CATALOG,no,no
Q063,synthetic,TITLE_EXACT,-,NONE,short_title_en,DIRECT_CATALOG,no,no
Q064,synthetic,TITLE_EXACT,-,NONE,short_title_en,DIRECT_CATALOG,no,no
Q065,synthetic,TITLE_EXACT,-,NONE,short_title_ko,DIRECT_CATALOG,no,no
Q066,synthetic,TITLE_EXACT,-,NONE,short_title_en,DIRECT_CATALOG,no,no
Q067,synthetic,TITLE_RECOVERY,MECHANIC_RULE,NONE,typo_ko,PARTIAL_TITLE_CATALOG,yes,no
Q068,synthetic,TITLE_RECOVERY,MECHANIC_RULE,NONE,fragment_ko,PARTIAL_TITLE_CATALOG,yes,no
Q069,synthetic,TITLE_RECOVERY,INTERACTION_MODE;MECHANIC_RULE,NONE,mixed_ko_en_fragment,PARTIAL_TITLE_CATALOG,yes,no
Q070,synthetic,TITLE_RECOVERY,THEME_CONTENT,NONE,fragment_ko,PARTIAL_TITLE_CATALOG,yes,no
Q071,synthetic,TITLE_RECOVERY,MECHANIC_RULE,NONE,fragment_ko,PARTIAL_TITLE_CATALOG,yes,no
Q072,synthetic,TITLE_RECOVERY,-,NONE,natural_ko_uncertain,PARTIAL_TITLE_CATALOG,yes,no
Q073,synthetic,REFERENCE_SIMILARITY,TITLE_EXACT,NONE,natural_ko_reference,REFERENCE_QRELS,yes,no
Q074,synthetic,REFERENCE_SIMILARITY,TITLE_EXACT,NONE,mixed_ko_en_reference,REFERENCE_QRELS,yes,no
Q075,synthetic,TITLE_RECOVERY,TITLE_EXACT,NONE,mixed_ko_en_title,PARTIAL_TITLE_CATALOG,yes,no
Q076,synthetic,TITLE_RECOVERY,THEME_CONTENT,NONE,fragment_ko,PARTIAL_TITLE_CATALOG,yes,no
Q077,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q078,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q079,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q080,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q081,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q082,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q083,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q084,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q085,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q086,synthetic,MECHANIC_RULE,INTERACTION_MODE,NONE,mixed_ko_en,HUMAN_QRELS,no,no
Q087,synthetic,MECHANIC_RULE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q088,synthetic,MECHANIC_RULE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q089,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q090,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q091,synthetic,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,HUMAN_QRELS,no,no
Q092,synthetic,MECHANIC_RULE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q093,synthetic,MECHANIC_RULE,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q094,synthetic,MECHANIC_RULE,PLAY_EXPERIENCE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q095,synthetic,MECHANIC_RULE,INTERACTION_MODE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q096,synthetic,ACCESSIBILITY,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q097,synthetic,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q098,synthetic,INTERACTION_MODE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q099,synthetic,INTERACTION_MODE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q100,synthetic,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q101,synthetic,INTERACTION_MODE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q102,synthetic,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q103,synthetic,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q104,synthetic,INTERACTION_MODE,MECHANIC_RULE,NONE,natural_ko,HUMAN_QRELS,no,no
Q105,synthetic,INTERACTION_MODE,PLAY_EXPERIENCE,NONE,natural_ko,HUMAN_QRELS,no,no
Q106,synthetic,INTERACTION_MODE,-,NONE,natural_ko,HUMAN_QRELS,no,no
Q107,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q108,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q109,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q110,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q111,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q112,synthetic,ACCESSIBILITY,-,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q113,synthetic,ACCESSIBILITY,-,STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,NOT_REPRESENTED,yes,no
Q114,synthetic,ACCESSIBILITY,OCCASION_CONTEXT,STRUCTURED_PREFERENCE;CONTEXT_HINT;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q115,synthetic,ACCESSIBILITY,PLAY_EXPERIENCE,STRUCTURED_PREFERENCE;SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
Q116,synthetic,PLAY_EXPERIENCE,-,SEMANTIC_PREFERENCE,natural_ko,HUMAN_QRELS,yes,no
Q117,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q118,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q119,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q120,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q121,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q122,synthetic,THEME_CONTENT,INTERACTION_MODE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q123,synthetic,THEME_CONTENT,-,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q124,synthetic,THEME_CONTENT,MECHANIC_RULE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q125,synthetic,THEME_CONTENT,MECHANIC_RULE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q126,synthetic,THEME_CONTENT,MECHANIC_RULE,NONE,natural_ko,CATALOG_METADATA_PLUS_QRELS,no,no
Q127,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS;HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q128,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS;HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q129,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q130,synthetic,STRUCTURED_FIT,ACCESSIBILITY,HARD_AGE;CONTEXT_HINT,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q131,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS;HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q132,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS;HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q133,synthetic,STRUCTURED_FIT,-,HARD_PLAYERS,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q134,synthetic,STRUCTURED_FIT,OCCASION_CONTEXT,HARD_PLAYERS;CONTEXT_HINT,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q135,synthetic,STRUCTURED_FIT,MECHANIC_RULE,HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q136,synthetic,STRUCTURED_FIT,INTERACTION_MODE,HARD_PLAYERS;HARD_TIME,structured_fragment_ko,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q137,synthetic,OCCASION_CONTEXT,STRUCTURED_FIT,HARD_PLAYERS;CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q138,synthetic,OCCASION_CONTEXT,INTERACTION_MODE,CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q139,synthetic,OCCASION_CONTEXT,ACCESSIBILITY,CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q140,synthetic,OCCASION_CONTEXT,ACCESSIBILITY,CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q141,synthetic,OCCASION_CONTEXT,STRUCTURED_FIT;INTERACTION_MODE,HARD_PLAYERS;CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q142,synthetic,OCCASION_CONTEXT,STRUCTURED_FIT;PLAY_EXPERIENCE,HARD_TIME;CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q143,synthetic,OCCASION_CONTEXT,-,CONTEXT_HINT,natural_ko,HUMAN_QRELS,no,no
Q144,synthetic,OCCASION_CONTEXT,-,CONTEXT_HINT,natural_ko,NOT_REPRESENTED,no,no
Q145,synthetic,INTERACTION_MODE,STRUCTURED_FIT;ACCESSIBILITY,HARD_PLAYERS;HARD_TIME;STRUCTURED_PREFERENCE;SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko_compound,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q146,synthetic,STRUCTURED_FIT,MECHANIC_RULE;PLAY_EXPERIENCE,HARD_PLAYERS;HARD_TIME;SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko_compound,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q147,synthetic,OCCASION_CONTEXT,STRUCTURED_FIT;INTERACTION_MODE;ACCESSIBILITY,HARD_PLAYERS;HARD_TIME;CONTEXT_HINT;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko_compound,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q148,synthetic,OCCASION_CONTEXT,STRUCTURED_FIT;ACCESSIBILITY;MECHANIC_RULE,HARD_TIME;CONTEXT_HINT;STRUCTURED_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko_compound,STRUCTURED_CHECKABLE_PLUS_QRELS,yes,no
Q149,synthetic,MECHANIC_RULE,STRUCTURED_FIT,HARD_PLAYERS;HARD_TIME,mixed_structured_en,STRUCTURED_CHECKABLE_PLUS_QRELS,no,no
Q150,synthetic,INTERACTION_MODE,STRUCTURED_FIT;PLAY_EXPERIENCE,HARD_PLAYERS;HARD_TIME;SEMANTIC_PREFERENCE;AMBIGUOUS_SUBJECTIVE,natural_ko,HUMAN_QRELS,yes,no
